q: q 
number: number 
downtown: downtown 
created: created 
together: together 
debut: debut 
world: world 
chair: chair 
know: know 
six: six 
tour: tour 
mcanally: mcanally 
traditionally: traditionally 
rescue: rescue 
zach: zach 
stick: stick 
search: search 
whole: whole 
uplifting: uplifting 
g: g 
nashville: nashville 
february: february 
interpolation: interpolations 
vocalist: vocalists 
southside: southside 
lip: lips 
hannah: hannah 
might: might 
hoping: hoping 
spend: spend 
ali: ali 
r: r 
contributor: contributor contributors 
fan: fans 
leroy: leroy 
genius: genius 
billboard: billboard 
understand: understand 
rucka: rucka 
see: see 
girlfriend: girlfriend 
new: new 
josh: josh 
people: people 
upchurch: upchurch 
even: even 
success: success 
universal: universal 
text: text 
c: c 
previously: previously 
racist: racist 
credit: credits 
scholar: scholars 
feel: feels feel 
getting: getting 
still: still 
live: live 
type: type 
last: lasts 
optimist: optimist 
hand: hand 
chart: charts chart 
source: source 
better: better 
learn: learn 
process: process 
year: years year 
album: album 
least: least 
sell: sell 
one: one ones 
drivin: drivin 
seen: seen 
etc: etc 
embed: embed 
carve: carve 
recording: recording 
taken: taken 
blue: blue 
bout: bout 
house: house 
featured: featured 
beautiful: beautiful 
guideline: guidelines 
genre: genre 
fit: fit 
first: first 
studio: studio 
track: track 
necessarily: necessarily 
songwriting: songwriting 
country: country 
peaked: peaked 
tell: tell 
b: b 
walk: walk 
requires: requires 
opposite: opposite 
slow: slow 
w: w 
forever: forever 
much: much 
south: south 
biggest: biggest 
knowledge: knowledge 
shane: shane 
would: would 
whether: whether 
need: need 
bold: bold 
twin: twin 
cancel: cancel 
verified: verified 
going: going 
advertise: advertise 
within: within 
part: parts part 
direction: direction 
whatsoever: whatsoever 
engaged: engaged 
room: room 
abandoned: abandoned 
definitely: definitely 
eye: eyes 
nowadays: nowadays 
sam: sam 
fifteen: fifteen 
plan: plan 
f: f 
transcription: transcription 
board: board 
never: never 
little: little 
produced: produced 
enjoy: enjoy 
awesome: awesome 
promote: promote 
hunt: hunt 
hip: hips 
heaven: heaven 
flo: flo 
ultimate: ultimate 
closed: closed 
smile: smile 
rhett: rhett 
song: songs song 
musically: musically 
broken: broken 
tag: tags 
always: always 
since: since 
patient: patient 
alex: alex 
hat: hats 
state: state 
link: link 
happy: happy 
header: headers 
press: press 
holding: holdings 
radio: radio 
melton: melton 
read: read 
privacy: privacy 
kinfolk: kinfolks 
insight: insight 
apologetic: apologetic 
z: z 
like: like 
job: jobs 
belt: belt 
every: every 
ago: ago 
answer: answer 
alternative: alternative 
go: go goes 
braid: braids 
performance: performances 
question: question 
line: lines 
van: van 
fanbase: fanbase 
mmm: mmm 
reach: reach 
tangled: tangled 
visit: visit 
serious: serious 
wanted: wanted 
freedom: freedom 
lee: lee 
try: try 
inch: inch 
individual: individual 
contact: contact 
comment: comments comment 
hopefully: hopefully 
easy: easy 
llc: llc 
date: date 
week: weeks 
united: united 
shop: shop 
road: road 
bridge: bridge 
broke: broke 
format: format 
initial: initial 
old: old 
fast: fast 
said: said 
drop: drop 
music: music 
add: add 
lead: lead 
wearing: wearing 
le: less 
ml: ml 
lighthearted: lighthearted 
pop: pop 
fowler: fowler 
v: v 
e: e 
next: next 
get: get 
bird: birds 
longer: longer 
create: create 
different: different 
thirty: thirty 
breeze: breeze 
brown: brown 
fun: fun 
ode: ode 
soon: soon 
cool: cool 
label: label 
well: well 
u: us u 
songwriter: songwriter 
street: streets 
chorus: chorus 
information: information 
expand: expand 
right: right 
take: takes take 
want: want 
dead: dead 
forum: forum 
folk: folks 
cupid: cupid 
compartmentalize: compartmentalize 
young: young 
sample: samples sample 
copyright: copyright 
drinkin: drinkin 
niche: niche 
inspired: inspired 
forward: forward 
backroad: backroad 
taking: taking 
h: h 
body: body 
kind: kind 
breaking: breaking 
written: written 
hard: hard 
policy: policy 
june: june 
n: n 
release: release 
writing: writing 
l: l 
sign: sign 
curve: curve curves 
injektion: injektion 
past: past 
story: story 
girl: girl 
osborne: osborne 
fall: fall 
helped: helped 
artist: artists 
inspiring: inspiring 
mca: mca 
montevallo: montevallo 
collection: collection 
creative: creative 
p: p 
lately: lately 
back: back 
held: held 
lot: lot 
rida: rida 
hurry: hurry 
honey: honey 
fell: fell 
way: way 
verse: verse 
licensing: licensing 
share: share 
transcriber: transcribers 
turn: turn 
seat: seats 
established: established 
forget: forget 
outside: outside 
stylistically: stylistically 
distinguish: distinguish 
hair: hair 
cover: covers cover 
boondocks: boondocks 
view: view 
x: x 
crowell: crowell 
repeating: repeating 
guide: guide 
record: record 
inside: inside 
fianc: fianc 
annotation: annotation 
box: box 
term: terms 
com: com 
grass: grass 
cadillac: cadillac 
lyric: lyric lyrics 
version: version 
filled: filled 
got: got 
headed: headed 
check: check 
really: really 
fact: facts 
personal: personal 
say: say 
spent: spent 
italic: italics 
thick: thick 
singer: singer 
man: man 
highway: highway 
jean: jeans 
j: j 
use: use 
section: section 
lethal: lethal 
group: group 
time: time 
video: videos 
awareness: awareness 
interpolate: interpolate 
developer: developers 
love: love 
successful: successful 
predictive: predictive 
hot: hot 
tune: tune 
nothing: nothing 
planning: planning 
outro: outro 
put: put 
help: help 
doin: doin 
life: life 
took: took 
earworm: earworm 
hanging: hanging 
loyalty: loyalty 
also: also 
kane: kane 
israel: israel 
dyke: dyke 
ask: ask 
peach: peaches 
sweet: sweet 
continue: continue 
musical: musical 
remixes: remixes 
let: let 
mile: mile 
dj: dj 
started: started 
k: k 
tall: tall 
sinning: sinning 
boundary: boundaries 
