q: q 
covered: covered 
created: created 
world: world 
elcid: elcid 
rescue: rescue 
maid: maid 
hill: hills 
privateer: privateers 
whole: whole 
search: search 
montego: montego 
g: g 
away: away 
vocalist: vocalists 
might: might 
r: r 
shook: shook 
best: best 
contributor: contributor contributors 
sic: sic 
image: image 
rag: rags 
genius: genius 
understand: understand 
tear: tears 
people: people 
birthday: birthday 
even: even 
stood: stood 
plenty: plenty 
mcguinness: mcguinness 
c: c 
credit: credits 
scholar: scholars 
wish: wish 
grow: grow 
sea: seas sea 
seventy: seventies 
sherbrooke: sherbrooke 
made: made 
scummiest: scummiest 
live: live 
type: type 
chart: charts 
fire: fire 
source: source 
last: last 
learn: learn 
joensen: joensen 
unofficial: unofficial 
year: years year 
brave: brave 
album: album 
wharf: wharf 
sell: sell 
oh: oh 
gun: guns 
one: one 
low: low 
seen: seen 
etc: etc 
circumstance: circumstances 
outgrown: outgrown 
embed: embed 
rogers: rogers 
featured: featured 
watching: watching 
leg: legs 
marque: marque 
four: four 
loose: loose 
guideline: guidelines 
paul: paul 
canadian: canadian 
track: track 
country: country 
place: places 
b: b bs 
apparently: apparently 
w: w 
fight: fight 
mill: mills 
damn: damn 
bor: bor 
biggest: biggest 
knowledge: knowledge 
would: would 
day: days day 
bold: bold 
alestorm: alestorm 
din: din 
twin: twin 
pumping: pumping 
sloop: sloop 
cancel: cancel 
verified: verified 
advertise: advertise 
letter: letter 
harbour: harbour 
singing: singing 
part: parts part 
edmonton: edmonton 
egg: eggs 
athens: athens 
cruise: cruise 
town: town 
f: f 
transcription: transcription 
many: many 
carried: carried 
produced: produced 
promote: promote 
broad: broad 
two: two 
ultimate: ultimate 
al: al 
song: songs song 
side: side 
broken: broken 
anthem: anthem 
tag: tags 
always: always 
list: list 
since: since 
cracked: cracked 
liner: liner 
sailed: sailed 
pitched: pitched 
happy: happy 
header: headers 
catch: catch 
bay: bay 
press: press 
holding: holdings 
nova: nova 
northern: northern 
note: notes 
th: th 
read: read 
privacy: privacy 
awful: awful 
insight: insight 
z: z 
wreck: wreck 
smashed: smashed 
like: like 
job: jobs 
every: every 
answer: answer 
notably: notably 
modern: modern 
vessel: vessel 
bowl: bowl 
question: question 
fat: fat 
line: lines 
fisherman: fishermen fisherman 
madman: madmen 
visit: visit 
make: make 
howell: howell 
individual: individual 
contact: contact 
comment: comments comment 
light: lights 
llc: llc 
date: date 
shop: shop 
oddest: oddest 
format: format 
yankee: yankee 
men: men 
barrett: barrett 
said: said 
drop: drop 
music: music 
add: add 
rd: rd 
hornpipe: hornpipe 
completely: completely 
expectation: expectations 
ml: ml 
bill: bill 
scotian: scotian 
v: v 
e: e 
real: real 
popularity: popularity 
get: get 
gold: gold 
yesterday: yesterday 
different: different 
colm: colm 
apple: apples 
break: break breaks 
u: us u 
songwriter: songwriter 
jag: jags 
chorus: chorus 
information: information 
expand: expand 
pier: pier 
forum: forum 
cupid: cupid 
navy: navy 
shed: shed 
copyright: copyright 
inspired: inspired 
heri: heri 
mckenzies: mckenzies 
especially: especially 
h: h 
green: green 
written: written 
policy: policy 
n: n 
fiddler: fiddler 
folk: folk 
release: release 
ever: ever 
l: l 
sign: sign 
sickening: sickening 
story: story 
artist: artists 
integral: integral 
ft: ft 
sail: sails 
stan: stan 
collection: collection 
crew: crew 
p: p 
royal: royal 
way: way 
american: american 
report: reports 
cable: cables 
verse: verse 
cove: cove 
licensing: licensing 
share: share 
transcriber: transcribers 
scupper: scuppers 
distinguish: distinguish 
antelope: antelope 
hove: hove 
performing: performing 
length: length 
stage: stage 
cook: cook 
cover: covers 
cried: cried 
view: view 
came: came 
x: x 
repeating: repeating 
guide: guide 
institution: institutions 
record: record 
finch: finch 
annotation: annotation 
term: terms 
friend: friends 
lyric: lyric lyrics 
queen: queen 
version: version 
bloody: bloody 
god: god 
check: check 
strangest: strangest 
fact: facts 
personal: personal 
stagger: staggers 
italic: italics 
singer: singer 
man: man 
yank: yank 
session: session 
j: j 
reprise: reprise 
use: use 
pounder: pounders 
section: section 
performance: performance 
told: told 
developer: developers 
video: videos 
great: great 
love: love 
halifax: halifax 
hot: hot 
truck: truck 
complaint: complaint 
stove: stove 
put: put 
main: main 
took: took 
shanty: shanty 
rawdon: rawdon 
sight: sight 
released: released 
thanks: thanks 
also: also 
lay: lay 
festival: festival 
shore: shore 
style: style 
ask: ask 
giant: giant 
peach: peaches 
port: port 
fogarty: fogarty 
musical: musical 
twenty: twenty 
stay: stays 
ball: ball 
k: k 
king: king 
